instance_id,message_family_id,variant,romanized_message,source_register,domain,intent,speaker_role,recipient_role,authority_relation,relative_age,familiarity,setting,changed_cue_from_A,comparison_ids,primary_register,secondary_register,acceptable_registers,answerability,gold_confidence,reason_codes,english_token_ratio,code_mix_level,spelling_noise_level,authoring_source,human_revision_status,split,dataset_version
F001-A,F001,A,Kal project niye ekta meeting kora jabe?,UNCLEAR,ACADEMIC,REQUEST,UNIVERSITY_PROJECT_MEMBER,UNIVERSITY_PROJECT_MEMBER,EQUAL,SIMILAR,MEDIUM,SEMI_FORMAL,NONE,F001-B|F001-C,,,,ANSWERABLE,,,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,PILOT-AUTHORING-V0.1
F001-B,F001,B,Kal project niye ekta meeting kora jabe?,UNCLEAR,ACADEMIC,REQUEST,UNIVERSITY_PROJECT_MEMBER,UNIVERSITY_PROJECT_MEMBER,HIGHER,SIMILAR,MEDIUM,SEMI_FORMAL,AUTHORITY,F001-A,,,,ANSWERABLE,,,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,PILOT-AUTHORING-V0.1
F001-C,F001,C,Kal project niye ekta meeting kora jabe?,UNCLEAR,ACADEMIC,REQUEST,UNIVERSITY_PROJECT_MEMBER,UNIVERSITY_PROJECT_MEMBER,EQUAL,OLDER,MEDIUM,SEMI_FORMAL,AGE,F001-A,,,,ANSWERABLE,,,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,PILOT-AUTHORING-V0.1
F002-A,F002,A,Assignment er deadline niye ektu kotha chilo.,UNCLEAR,ACADEMIC,REQUEST,STUDENT,ACADEMIC_CONTACT,EQUAL,SIMILAR,HIGH,INFORMAL,NONE,F002-B|F002-C,,,,ANSWERABLE,,,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,PILOT-AUTHORING-V0.1
F002-B,F002,B,Assignment er deadline niye ektu kotha chilo.,UNCLEAR,ACADEMIC,REQUEST,STUDENT,ACADEMIC_CONTACT,EQUAL,SIMILAR,LOW,INFORMAL,FAMILIARITY,F002-A,,,,ANSWERABLE,,,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,PILOT-AUTHORING-V0.1
F002-C,F002,C,Assignment er deadline niye ektu kotha chilo.,UNCLEAR,ACADEMIC,REQUEST,STUDENT,ACADEMIC_CONTACT,EQUAL,SIMILAR,HIGH,FORMAL,SETTING,F002-A,,,,ANSWERABLE,,,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,PILOT-AUTHORING-V0.1
F003-A,F003,A,Report ta niye ektu motamot dorkar chilo.,UNCLEAR,ACADEMIC,REQUEST,STUDENT_WRITER,ACADEMIC_REVIEWER,EQUAL,SIMILAR,MEDIUM,INFORMAL,NONE,F003-B|F003-C,,,,ANSWERABLE,,,0.143,LIGHT,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,PILOT-AUTHORING-V0.1
F003-B,F003,B,Report ta niye ektu motamot dorkar chilo.,UNCLEAR,ACADEMIC,REQUEST,STUDENT_WRITER,ACADEMIC_REVIEWER,HIGHER,SIMILAR,MEDIUM,INFORMAL,AUTHORITY,F003-A,,,,ANSWERABLE,,,0.143,LIGHT,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,PILOT-AUTHORING-V0.1
F003-C,F003,C,Report ta niye ektu motamot dorkar chilo.,UNCLEAR,ACADEMIC,REQUEST,STUDENT_WRITER,ACADEMIC_REVIEWER,EQUAL,SIMILAR,MEDIUM,FORMAL,SETTING,F003-A,,,,ANSWERABLE,,,0.143,LIGHT,NONE,AI_CANDIDATE_REVISED,REWRITTEN,DEVELOPMENT,PILOT-AUTHORING-V0.1
F004-A,F004,A,Client er file ta ajker moddhe dorkar.,UNCLEAR,PROFESSIONAL,REQUEST,WORK_TEAM_MEMBER,WORK_TEAM_MEMBER,EQUAL,SIMILAR,HIGH,SEMI_FORMAL,NONE,F004-B|F004-C,,,,ANSWERABLE,,,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,PILOT-AUTHORING-V0.1
F004-B,F004,B,Client er file ta ajker moddhe dorkar.,UNCLEAR,PROFESSIONAL,REQUEST,WORK_TEAM_MEMBER,WORK_TEAM_MEMBER,HIGHER,SIMILAR,HIGH,SEMI_FORMAL,AUTHORITY,F004-A,,,,ANSWERABLE,,,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,PILOT-AUTHORING-V0.1
F004-C,F004,C,Client er file ta ajker moddhe dorkar.,UNCLEAR,PROFESSIONAL,REQUEST,WORK_TEAM_MEMBER,WORK_TEAM_MEMBER,EQUAL,SIMILAR,LOW,SEMI_FORMAL,FAMILIARITY,F004-A,,,,ANSWERABLE,,,0.286,MODERATE,NONE,AI_CANDIDATE_REVISED,REVIEWED,DEVELOPMENT,PILOT-AUTHORING-V0.1
